title,genre,country,device,watch_time,completion_rate
Bridgerton,Action,India,TV,105,76.78873420373793
Stranger Things,Drama,United Kingdom,Desktop,89,84.7906403395441
Wednesday,Action,United Kingdom,Desktop,55,50.829391446392805
Wednesday,Comedy,United Kingdom,Tablet,90,58.718321450249576
Stranger Things,Thriller,United States,Desktop,111,86.7608059620386
Money Heist,Thriller,Brazil,Desktop,35,90.8611100100608
Stranger Things,Action,United Kingdom,Mobile,21,99.81268498789622
The Witcher,Documentary,Canada,Tablet,28,63.94356762960909
Wednesday,Comedy,United Kingdom,Tablet,73,88.99377729288119
The Witcher,Comedy,United States,Tablet,55,94.92770942635397
The Witcher,Comedy,United States,Desktop,44,50.253079192310935
Money Heist,Thriller,Brazil,Tablet,80,61.21346547302799
Stranger Things,Action,United States,TV,40,58.94113546106644
Wednesday,Drama,United States,Tablet,95,75.440703841938
Bridgerton,Comedy,Brazil,Desktop,117,67.50392038473379
Stranger Things,Action,United States,Mobile,80,74.95966899423762
The Witcher,Comedy,United States,Tablet,36,99.72752553986706
Bridgerton,Documentary,Brazil,Tablet,56,96.41592812938626
Stranger Things,Documentary,Brazil,Tablet,116,53.767312800306414
Bridgerton,Documentary,United States,Tablet,86,58.474637334304624
Stranger Things,Thriller,India,Desktop,65,54.85882468853843
Money Heist,Comedy,India,TV,109,87.03843088771022
Stranger Things,Drama,Brazil,TV,67,77.64099884539539
Money Heist,Thriller,Brazil,TV,44,80.57568554328402
The Witcher,Thriller,United States,Tablet,64,59.71369767560211
The Witcher,Comedy,United Kingdom,TV,85,71.92370615090435
Wednesday,Drama,India,Desktop,81,64.32706260641422
Money Heist,Thriller,United States,Tablet,61,91.13002803298292
Wednesday,Action,Canada,Mobile,27,88.49967765493054
The Witcher,Action,Canada,Desktop,87,92.10115375059907
The Witcher,Comedy,United Kingdom,Tablet,32,98.47684335570796
Money Heist,Comedy,United States,Tablet,82,71.6760368790371
Money Heist,Thriller,Canada,TV,81,91.79900602561028
Stranger Things,Action,Canada,Mobile,77,95.76068638132402
Money Heist,Drama,Canada,Mobile,20,97.7432640331597
Bridgerton,Documentary,Brazil,Tablet,45,67.79863393256308
Bridgerton,Drama,Canada,TV,111,52.30013210108764
Stranger Things,Action,Canada,Tablet,35,54.89170803255007
Bridgerton,Action,United States,TV,113,82.48868413213816
Money Heist,Thriller,Canada,Tablet,53,63.0446811670857
Money Heist,Thriller,Brazil,TV,115,92.82449205941612
Bridgerton,Documentary,United Kingdom,Tablet,43,97.19458022803786
Money Heist,Drama,United Kingdom,Tablet,51,97.01151207124788
The Witcher,Thriller,Brazil,Tablet,52,72.91264452457582
Wednesday,Comedy,Canada,Tablet,86,91.02134218856341
Money Heist,Comedy,United Kingdom,Mobile,32,60.72945598541871
Money Heist,Documentary,Brazil,TV,54,66.82771074443633
Money Heist,Documentary,India,TV,109,67.031228473212
Wednesday,Drama,United Kingdom,TV,94,93.87360067635265
The Witcher,Drama,Canada,Mobile,55,58.87197718898614
Stranger Things,Comedy,United States,Desktop,55,68.60090428963916
Bridgerton,Action,United States,Desktop,32,86.99543802236872
Wednesday,Drama,United States,Mobile,81,74.82805953415388
Stranger Things,Documentary,Brazil,Desktop,68,52.67426483736845
Bridgerton,Drama,Brazil,Tablet,28,65.96568187952074
The Witcher,Comedy,India,Desktop,35,72.42227609891599
Wednesday,Action,United States,Tablet,104,87.618726471884
Stranger Things,Documentary,Canada,TV,77,52.877938000832216
Money Heist,Documentary,Brazil,Desktop,112,67.54575062760394
Money Heist,Action,United States,TV,77,80.91090316581305
Bridgerton,Documentary,India,Mobile,69,94.59484543883883
Money Heist,Documentary,Canada,Mobile,57,99.33197892505876
Bridgerton,Drama,United Kingdom,Mobile,90,99.30005319114355
The Witcher,Action,United Kingdom,Desktop,38,88.85734579637185
Wednesday,Thriller,India,Desktop,58,71.72259222441357
Bridgerton,Documentary,India,Tablet,77,87.04869304553341
Bridgerton,Drama,United States,Desktop,96,61.8753235646235
Stranger Things,Action,United States,Mobile,75,76.41850606486045
Bridgerton,Thriller,United Kingdom,Mobile,51,77.80025193212923
Bridgerton,Documentary,Brazil,Tablet,55,77.69271422006604
The Witcher,Drama,India,Desktop,68,84.78743444923086
Stranger Things,Documentary,Brazil,Tablet,106,52.272319017072896
The Witcher,Thriller,United Kingdom,Tablet,47,66.78300323984816
Money Heist,Action,United Kingdom,TV,27,67.66761140130264
Money Heist,Action,United Kingdom,Mobile,60,62.99749314271313
Wednesday,Drama,United States,Mobile,103,80.13909410116493
Bridgerton,Documentary,Brazil,Mobile,25,97.4899956645962
Bridgerton,Drama,India,TV,75,93.83307429628964
Wednesday,Documentary,Canada,Desktop,52,88.88011418676128
Money Heist,Drama,Brazil,Mobile,45,69.04454283155107
Wednesday,Comedy,United States,Mobile,52,73.43465798974852
Wednesday,Drama,Canada,Tablet,74,93.23611881275266
Stranger Things,Documentary,Canada,TV,22,77.77158528013138
Bridgerton,Documentary,Canada,TV,93,68.89252746378932
Bridgerton,Drama,United States,Desktop,64,80.308731722544
Stranger Things,Drama,India,Tablet,114,55.67787960998145
Money Heist,Thriller,India,TV,22,76.00817505559966
The Witcher,Drama,United Kingdom,Mobile,113,93.83268013291726
Stranger Things,Drama,Canada,Mobile,33,85.20398840496118
Wednesday,Action,India,TV,69,79.49588434273166
Wednesday,Comedy,India,Tablet,57,72.54552237080522
The Witcher,Thriller,Brazil,Mobile,24,89.82358878369386
Money Heist,Drama,India,Mobile,103,72.95678781191307
Money Heist,Documentary,India,Mobile,62,62.00728093890965
Wednesday,Drama,Brazil,TV,35,82.04373724016074
The Witcher,Drama,Brazil,Tablet,86,75.76180274321055
Money Heist,Documentary,India,Desktop,38,91.08953184222246
Money Heist,Action,India,Mobile,41,54.43512668785278
Stranger Things,Documentary,United States,Tablet,109,94.71086314479629
Stranger Things,Thriller,Canada,Desktop,92,54.6145293114373
Stranger Things,Comedy,Canada,Mobile,45,93.41505535177934
Stranger Things,Comedy,Canada,Tablet,98,76.82953229936663
Money Heist,Action,India,Mobile,45,51.834160144529896
Wednesday,Comedy,Brazil,Desktop,37,72.37061834117273
Wednesday,Comedy,United States,Desktop,47,51.003559888886315
Stranger Things,Drama,India,TV,63,61.66082057749006
Bridgerton,Action,United States,Tablet,29,89.45856193036691
Bridgerton,Thriller,United Kingdom,Desktop,105,79.34205590104395
Stranger Things,Action,Brazil,TV,60,66.8723416935959
The Witcher,Thriller,India,Desktop,75,74.91238489244701
Bridgerton,Drama,United States,Mobile,41,61.26663988562641
The Witcher,Comedy,United States,Desktop,22,76.22556947851274
Bridgerton,Action,India,Tablet,111,95.86978065427658
Stranger Things,Comedy,United States,TV,98,76.75183660224553
Money Heist,Comedy,Canada,Tablet,24,59.35218742787617
The Witcher,Comedy,United Kingdom,Mobile,39,62.12048662075401
Stranger Things,Thriller,Canada,TV,30,96.60071711284671
Bridgerton,Comedy,Brazil,Mobile,25,66.83021390969603
Money Heist,Documentary,India,Tablet,21,66.11769224873615
Money Heist,Action,United States,Desktop,92,88.01139299448432
Wednesday,Comedy,United States,Mobile,81,87.2987262774359
Money Heist,Documentary,Brazil,Mobile,53,59.061653308283006
Wednesday,Drama,United Kingdom,Tablet,112,56.988618831314476
Stranger Things,Documentary,United Kingdom,TV,54,58.21328989654965
Bridgerton,Comedy,Brazil,TV,45,95.3933065231258
Stranger Things,Documentary,India,Mobile,37,90.82997197357886
Wednesday,Documentary,United States,Desktop,82,75.13601950462396
Stranger Things,Drama,United States,Desktop,85,77.17764305569943
Wednesday,Comedy,Brazil,Desktop,70,66.7452807328543
The Witcher,Documentary,United States,Tablet,113,94.69462915254789
The Witcher,Documentary,United States,Mobile,46,87.19731462863385
The Witcher,Thriller,India,Mobile,93,67.10408743579538
Bridgerton,Action,Canada,Tablet,71,69.86436452801837
Bridgerton,Documentary,Canada,Desktop,87,86.1126284196533
Money Heist,Comedy,Brazil,Desktop,55,77.13622216737981
Wednesday,Comedy,Canada,Tablet,30,97.95373972820138
Money Heist,Comedy,United Kingdom,TV,32,56.955809707153094
Money Heist,Drama,United States,Desktop,79,79.64814526294109
The Witcher,Action,United Kingdom,Mobile,56,85.36193171566993
Money Heist,Drama,United Kingdom,Desktop,28,71.2065335651193
Bridgerton,Drama,Brazil,Desktop,20,55.661902292037766
Bridgerton,Thriller,United Kingdom,TV,106,96.04209413086862
Wednesday,Documentary,United States,Mobile,28,60.27899041878187
Stranger Things,Documentary,India,Mobile,54,69.90843467954717
Stranger Things,Thriller,Brazil,TV,21,73.28500611594066
Wednesday,Thriller,Brazil,Mobile,62,51.642333512171916
Wednesday,Comedy,United States,Desktop,71,70.9462724752274
Stranger Things,Drama,Canada,Desktop,41,61.00486070405485
Money Heist,Documentary,United States,Desktop,100,98.05351587347275
Stranger Things,Action,United Kingdom,Desktop,80,59.2231435709428
Stranger Things,Documentary,Brazil,Desktop,75,94.90271447203568
Bridgerton,Drama,Canada,Mobile,49,91.82824066461664
Wednesday,Thriller,United States,TV,66,76.38238650723929
The Witcher,Drama,India,TV,57,88.26781405331204
The Witcher,Drama,Canada,Desktop,22,68.66546581398765
Money Heist,Comedy,India,Tablet,116,51.26931778301724
The Witcher,Thriller,Canada,Tablet,84,77.58612976296699
Wednesday,Comedy,Canada,Tablet,73,66.96356229480955
Bridgerton,Comedy,Brazil,Mobile,111,61.90913905233633
Money Heist,Comedy,Brazil,Tablet,87,97.22048627886367
Bridgerton,Thriller,India,Desktop,52,60.394312757301364
Wednesday,Documentary,Brazil,Tablet,48,71.0712275296249
Money Heist,Drama,Canada,Tablet,30,62.971171671564626
Money Heist,Comedy,United Kingdom,Tablet,24,67.25960724406377
Stranger Things,Thriller,Canada,Tablet,118,97.42266534810784
The Witcher,Drama,India,TV,78,94.72761134470457
Stranger Things,Thriller,Brazil,Mobile,33,87.08434721143328
Money Heist,Documentary,United States,Desktop,92,56.96780370364121
Wednesday,Action,India,TV,48,58.583964292415175
Bridgerton,Comedy,India,Tablet,104,90.75272142012285
Stranger Things,Thriller,United States,Mobile,44,74.87324469899453
The Witcher,Documentary,India,TV,104,63.18419013173082
Wednesday,Thriller,United Kingdom,Mobile,72,58.76856393117248
Bridgerton,Drama,India,Mobile,111,88.54556885321352
Money Heist,Action,Brazil,Mobile,70,54.516848028880396
Wednesday,Thriller,Canada,Mobile,30,64.43468683853499
The Witcher,Drama,Brazil,Desktop,118,97.46533985288829
Bridgerton,Drama,India,Tablet,39,58.10069389457923
The Witcher,Comedy,United States,TV,117,81.16662754524954
Money Heist,Documentary,United States,Mobile,59,86.40943781018017
Stranger Things,Documentary,Brazil,Tablet,61,72.98407563805655
Wednesday,Comedy,India,Mobile,63,98.38496941035433
Money Heist,Action,Brazil,Mobile,63,90.37151259083805
Stranger Things,Documentary,United States,TV,76,72.30028864789779
The Witcher,Comedy,Canada,Mobile,106,86.20516646365692
Stranger Things,Thriller,United States,Tablet,34,84.65876057284623
Stranger Things,Documentary,India,Desktop,51,85.27875862578442
Stranger Things,Thriller,Canada,TV,26,51.69729892928994
Bridgerton,Drama,Brazil,Tablet,91,98.55291225826838
Bridgerton,Thriller,United Kingdom,Desktop,118,65.95502366216279
Money Heist,Drama,Brazil,Tablet,79,74.05309419220433
Wednesday,Documentary,Brazil,Tablet,109,86.23833857643808
The Witcher,Drama,United Kingdom,Mobile,105,65.9376251466035
Money Heist,Drama,Canada,TV,85,51.220039077826904
Money Heist,Thriller,Brazil,Desktop,32,76.4468567013606
Wednesday,Comedy,United Kingdom,Mobile,81,54.42717053068091
Bridgerton,Action,United States,Tablet,75,63.584348553450205
Stranger Things,Thriller,United States,Desktop,103,86.87911507944457
Stranger Things,Comedy,Canada,TV,49,92.64109108459508
Money Heist,Documentary,United States,Tablet,84,95.51695510287672
Stranger Things,Drama,United States,Tablet,87,60.912694393253204
Money Heist,Documentary,Canada,Mobile,62,79.42771144866227
Wednesday,Documentary,India,Mobile,90,99.55843130684883
Wednesday,Action,Canada,Desktop,73,80.38683974394296
Bridgerton,Thriller,Brazil,TV,76,61.02431045350877
Stranger Things,Thriller,Brazil,Tablet,25,90.03848435649375
Stranger Things,Drama,Brazil,Tablet,80,63.011668397576365
Wednesday,Thriller,India,TV,36,57.69479531699275
Wednesday,Documentary,Canada,Desktop,108,79.64699674208515
Bridgerton,Thriller,Brazil,Mobile,75,63.2800021294353
The Witcher,Documentary,United States,Desktop,44,92.60967666735039
Money Heist,Drama,United States,Mobile,30,54.34933799557051
The Witcher,Comedy,Canada,Tablet,109,76.63012597003811
Bridgerton,Action,Canada,Tablet,88,99.5737667572524
Money Heist,Documentary,Canada,Desktop,77,78.56594709597871
Money Heist,Comedy,Canada,Mobile,52,93.9314993177579
Wednesday,Action,United States,Desktop,78,58.0200052665036
Bridgerton,Comedy,Canada,Mobile,72,84.00703858801502
Wednesday,Action,Canada,Desktop,64,93.5921763872616
Wednesday,Thriller,India,Tablet,72,87.1754128145804
Money Heist,Action,India,TV,96,75.37338668804182
Money Heist,Documentary,Brazil,Mobile,36,55.792192839012884
Money Heist,Action,Canada,Desktop,89,64.16714741327908
Money Heist,Drama,India,Desktop,47,81.6310946566974
Bridgerton,Documentary,United Kingdom,Tablet,115,88.5427054270495
The Witcher,Comedy,United States,Tablet,41,85.42860023013147
Stranger Things,Thriller,Brazil,TV,69,99.50741863753235
Bridgerton,Action,United Kingdom,Desktop,118,79.71979296142726
The Witcher,Documentary,Brazil,Mobile,25,68.59167646193623
Wednesday,Comedy,India,Desktop,45,57.946914163837825
Money Heist,Documentary,United Kingdom,Mobile,118,72.56935121648377
Bridgerton,Documentary,Brazil,Tablet,51,54.11905228079213
The Witcher,Comedy,Brazil,Desktop,100,98.1618326720066
The Witcher,Documentary,Canada,Desktop,99,92.86800460462493
The Witcher,Comedy,United States,Mobile,22,65.59759952475652
Money Heist,Action,India,Mobile,54,51.55670414422557
Stranger Things,Action,India,Desktop,99,77.16164028949791
The Witcher,Drama,United States,Mobile,72,57.682901908055634
Wednesday,Thriller,United Kingdom,Desktop,22,89.83989139320138
The Witcher,Documentary,United Kingdom,TV,22,59.27294373383272
Stranger Things,Drama,United Kingdom,Tablet,119,77.9206336291599
Stranger Things,Action,Canada,Mobile,21,89.87795503185941
Wednesday,Documentary,United States,Tablet,40,53.62234438972794
Money Heist,Comedy,Canada,Mobile,52,97.63243190193586
Stranger Things,Comedy,Brazil,Tablet,60,62.10225079312637
Stranger Things,Action,United Kingdom,Mobile,93,88.79023678964779
Money Heist,Action,United States,TV,116,54.39332495724167
Bridgerton,Drama,Canada,Tablet,45,69.8461638100798
Money Heist,Thriller,India,TV,34,60.007512212240506
The Witcher,Drama,Brazil,Mobile,86,94.81106513425192
Stranger Things,Drama,United States,TV,95,93.54845618730428
Money Heist,Action,United Kingdom,TV,26,83.04100591496254
The Witcher,Thriller,India,Desktop,22,52.037705304623636
The Witcher,Thriller,Brazil,TV,31,62.355161700507324
Bridgerton,Drama,Canada,Desktop,38,98.79326279095656
The Witcher,Documentary,Canada,Desktop,72,82.9353887750438
Wednesday,Action,India,TV,37,82.6631509618665
Bridgerton,Drama,Brazil,Desktop,47,59.97712254645725
Wednesday,Documentary,Canada,TV,82,60.178914017112135
The Witcher,Drama,Canada,Desktop,77,87.13532605999904
The Witcher,Documentary,United Kingdom,Tablet,39,75.24224409465089
Money Heist,Drama,Brazil,Tablet,55,51.46972228782536
Money Heist,Action,India,Desktop,53,89.64780473028158
Money Heist,Comedy,Brazil,TV,31,69.19235759338981
Money Heist,Documentary,United States,Desktop,45,85.79124823410443
Money Heist,Action,India,Desktop,56,92.71925466847895
Bridgerton,Drama,United Kingdom,Mobile,33,75.74086769648451
Stranger Things,Action,India,Desktop,89,82.6061622765219
Stranger Things,Drama,United Kingdom,TV,54,82.8368332270646
Stranger Things,Action,United Kingdom,Mobile,42,72.68947706918196
Wednesday,Thriller,Brazil,TV,33,66.5444681494586
Bridgerton,Thriller,United Kingdom,TV,20,72.47169176068688
Wednesday,Action,United States,Mobile,83,67.96253739581228
The Witcher,Drama,Brazil,Mobile,66,83.19022638109026
Bridgerton,Drama,United States,Tablet,63,72.31843232562927
The Witcher,Comedy,Canada,Tablet,97,52.854342804465745
Bridgerton,Action,India,Mobile,20,56.105495700501336
Bridgerton,Documentary,Brazil,Mobile,52,75.36174043441963
The Witcher,Thriller,United Kingdom,Mobile,107,84.2983867991492
Money Heist,Drama,India,Mobile,76,79.0056114847734
Wednesday,Thriller,United Kingdom,TV,103,56.28707559033244
Bridgerton,Action,India,TV,27,98.49560230536352
Stranger Things,Documentary,Canada,Desktop,105,62.76532623642159
Stranger Things,Thriller,Brazil,TV,49,74.85873820042136
Stranger Things,Thriller,United States,Tablet,110,96.54743477534889
The Witcher,Drama,United States,Desktop,50,82.94427351163286
Bridgerton,Documentary,United States,TV,81,82.89226523015179
Money Heist,Drama,United States,Mobile,108,93.53767251686295
Stranger Things,Documentary,Canada,Desktop,94,93.92577806506739
Bridgerton,Action,Brazil,TV,117,88.11425673883079
Stranger Things,Comedy,Canada,Desktop,20,56.01045276853042
Stranger Things,Documentary,United States,Tablet,90,78.17194636742295
Wednesday,Action,Canada,Mobile,52,61.87720654371637
Stranger Things,Comedy,United Kingdom,TV,109,79.35308538505754
Money Heist,Thriller,United States,Desktop,104,93.16668247859127
Money Heist,Action,Canada,Mobile,45,55.44591709233657
Bridgerton,Thriller,Canada,Desktop,63,73.83477375205796
Wednesday,Thriller,United Kingdom,Desktop,62,50.91162913381808
Wednesday,Documentary,United Kingdom,Desktop,44,82.7346540715674
Wednesday,Action,Canada,Mobile,105,59.72791615926505
Bridgerton,Action,Canada,Tablet,46,96.48029387109946
The Witcher,Comedy,India,Tablet,49,85.80753371115968
Stranger Things,Documentary,United Kingdom,TV,108,76.12405202580592
The Witcher,Thriller,Canada,Desktop,90,64.7639144610155
Stranger Things,Thriller,Canada,TV,75,98.146343761879
The Witcher,Drama,United Kingdom,Tablet,64,81.65756877970111
Wednesday,Documentary,Canada,TV,111,61.40398859744663
Stranger Things,Thriller,India,Mobile,61,95.00115616990055
Stranger Things,Thriller,Brazil,Mobile,87,63.740301777406806
Wednesday,Action,United Kingdom,Desktop,93,90.47649878842209
Wednesday,Action,India,Mobile,74,79.3304231587737
Stranger Things,Comedy,United Kingdom,TV,52,60.836990004538784
Stranger Things,Documentary,Brazil,Tablet,90,77.33487063570351
Money Heist,Drama,Canada,Mobile,76,74.83834294295846
Money Heist,Comedy,Canada,TV,86,72.13584833897636
Bridgerton,Drama,United States,Desktop,43,56.41971447270626
Wednesday,Action,India,TV,61,95.27623961648369
Bridgerton,Action,Canada,Mobile,55,59.59336623593715
Stranger Things,Comedy,United States,Desktop,87,72.12049682403347
The Witcher,Thriller,United Kingdom,Mobile,63,61.685604095521654
Bridgerton,Thriller,Brazil,TV,63,66.21668765576878
Wednesday,Thriller,United Kingdom,TV,100,99.77402453521285
The Witcher,Action,India,Tablet,88,58.76514711788298
Stranger Things,Thriller,United States,Desktop,35,50.06183398797047
The Witcher,Action,Brazil,Tablet,49,61.73210409277267
The Witcher,Comedy,Canada,Tablet,84,92.10166471882107
Bridgerton,Action,India,Tablet,51,56.38567418176174
The Witcher,Action,India,Mobile,33,55.882451423677935
Money Heist,Documentary,India,Mobile,104,67.31608842945018
Stranger Things,Drama,United States,Desktop,86,69.84907585371417
Money Heist,Action,India,Desktop,25,95.96959866072086
Wednesday,Action,Canada,Tablet,31,96.52976073219581
Money Heist,Thriller,Canada,Desktop,49,93.89871602225347
Wednesday,Action,United States,Desktop,40,51.14469124880601
Wednesday,Thriller,Brazil,TV,97,98.78051004299574
Money Heist,Drama,India,Mobile,73,65.6863845597048
Stranger Things,Documentary,United Kingdom,Desktop,118,69.93315138861566
Stranger Things,Documentary,Canada,TV,27,73.91170115240361
The Witcher,Drama,United Kingdom,Mobile,79,88.83618152358463
The Witcher,Documentary,United Kingdom,TV,112,55.2832342130872
Bridgerton,Comedy,India,Tablet,42,57.601242656432404
Wednesday,Documentary,Brazil,TV,29,60.58776753327392
Wednesday,Thriller,Canada,Desktop,75,64.86775241184195
Wednesday,Drama,Brazil,Mobile,92,89.13480203720746
Wednesday,Action,United States,Tablet,23,99.83484269264883
Stranger Things,Documentary,United Kingdom,Tablet,112,81.19479181458192
The Witcher,Thriller,Canada,Tablet,82,72.48923244106612
Bridgerton,Comedy,Brazil,Tablet,105,91.37689477834371
Bridgerton,Documentary,Canada,TV,74,70.80769990898807
Wednesday,Documentary,Canada,TV,106,56.855485286449955
Bridgerton,Drama,Canada,Mobile,109,62.06007287997707
Bridgerton,Documentary,India,Mobile,64,52.13166046435164
Stranger Things,Comedy,United States,Tablet,30,72.71886672799805
The Witcher,Documentary,India,TV,87,93.23301960702088
The Witcher,Thriller,Brazil,Mobile,112,69.72381392850177
Money Heist,Documentary,India,Mobile,83,89.34516931276475
Stranger Things,Drama,United States,TV,79,53.82084297190257
Stranger Things,Thriller,India,TV,79,89.05852118934595
The Witcher,Comedy,India,Tablet,78,72.50622162098799
Stranger Things,Drama,United Kingdom,Desktop,107,94.12297202280499
Bridgerton,Action,United States,Desktop,27,52.083645030119214
Stranger Things,Comedy,United States,Mobile,70,53.56283638826293
Stranger Things,Documentary,United Kingdom,Mobile,77,73.09734683354779
The Witcher,Comedy,United Kingdom,Desktop,102,83.06853055352072
The Witcher,Comedy,Brazil,TV,24,77.48080218594623
Money Heist,Action,United States,Desktop,27,88.46115739190668
Stranger Things,Drama,India,Desktop,69,50.521384969870155
The Witcher,Action,United States,Mobile,108,76.51510666245792
Money Heist,Thriller,Canada,Tablet,31,73.7168054953107
Money Heist,Documentary,Canada,Tablet,114,76.03840709171064
The Witcher,Thriller,Brazil,TV,34,55.54039810899035
Money Heist,Drama,United States,Tablet,78,77.5045970229078
Money Heist,Drama,India,TV,49,96.41587664242886
The Witcher,Comedy,United States,Tablet,40,64.29533946195801
Stranger Things,Action,United States,Desktop,37,81.80353818649125
Bridgerton,Action,Brazil,Tablet,105,87.65936679567014
Stranger Things,Action,Canada,Mobile,101,55.397185732323216
Bridgerton,Action,Brazil,TV,114,74.41970650324697
The Witcher,Documentary,Brazil,Mobile,80,87.17118930383046
Wednesday,Comedy,Canada,TV,58,78.85863916437751
Stranger Things,Documentary,India,TV,35,90.58761084328549
The Witcher,Documentary,Brazil,Mobile,23,54.958904979360796
Money Heist,Thriller,Brazil,Mobile,29,87.11740252862546
Wednesday,Comedy,India,Mobile,32,76.93478336715195
The Witcher,Thriller,India,TV,73,91.63402346735216
Stranger Things,Thriller,Canada,Mobile,39,66.34658081690395
Wednesday,Comedy,Canada,TV,23,69.26879415236809
The Witcher,Action,India,Tablet,118,56.89114495796177
Bridgerton,Documentary,India,TV,65,67.77465052206787
Stranger Things,Documentary,United Kingdom,Mobile,90,74.04864449430619
Wednesday,Documentary,India,Desktop,23,52.64019802342641
Money Heist,Thriller,Brazil,Desktop,79,91.2524705090031
Stranger Things,Comedy,Canada,Tablet,49,99.09845952230727
Bridgerton,Action,Brazil,Tablet,64,57.372626335314195
Stranger Things,Drama,India,Desktop,111,86.7831557119595
Wednesday,Drama,United Kingdom,TV,64,58.674003713297864
The Witcher,Action,Brazil,Desktop,89,99.55632159106518
The Witcher,Comedy,United States,TV,35,60.14681837874511
The Witcher,Documentary,India,TV,22,51.30983542660324
Stranger Things,Documentary,United States,Desktop,70,97.03396225576702
Money Heist,Comedy,India,Desktop,88,92.09667833959043
Bridgerton,Action,United States,Mobile,93,96.86766471079322
The Witcher,Thriller,United Kingdom,TV,58,74.82305761776499
Stranger Things,Drama,United Kingdom,TV,60,57.94540838346768
The Witcher,Action,United Kingdom,Mobile,50,96.13115290438948
Stranger Things,Action,Canada,TV,43,52.852736057562716
The Witcher,Comedy,United Kingdom,TV,29,63.59748630643155
Money Heist,Drama,Canada,TV,63,57.8190902201724
The Witcher,Comedy,United Kingdom,TV,76,67.29602237508472
Money Heist,Drama,Brazil,Desktop,89,94.99166728436361
Money Heist,Comedy,United Kingdom,Tablet,34,94.106780714103
Bridgerton,Thriller,India,Tablet,33,86.54104824903649
Money Heist,Documentary,India,Mobile,22,86.25778637755573
Bridgerton,Drama,Brazil,Desktop,108,97.35179938693615
The Witcher,Drama,Canada,Mobile,52,57.56234143674673
The Witcher,Thriller,United States,Desktop,105,78.06113941412625
Stranger Things,Documentary,Canada,TV,47,86.14071516042418
Stranger Things,Drama,United States,TV,89,61.307352579497035
Money Heist,Drama,India,Mobile,24,97.28490735001412
Stranger Things,Thriller,India,TV,35,70.58827707922542
Bridgerton,Action,United Kingdom,Desktop,29,98.90309089867642
Wednesday,Drama,Canada,Tablet,45,66.51075324357488
The Witcher,Documentary,United Kingdom,Tablet,33,61.93981056907697
Stranger Things,Thriller,United Kingdom,TV,82,77.62568073913626
Wednesday,Action,United States,TV,118,55.27368499783153
The Witcher,Drama,Brazil,TV,62,88.78059254626638
Wednesday,Comedy,United Kingdom,TV,27,64.35689790422877
The Witcher,Drama,United Kingdom,Mobile,104,65.61745509427568
Stranger Things,Thriller,India,Tablet,103,77.89100959646007
Money Heist,Comedy,Canada,Desktop,46,63.84522436889045
Stranger Things,Action,United States,Desktop,27,94.69948550039352
The Witcher,Comedy,Canada,Tablet,113,80.76490125349011
Wednesday,Drama,United Kingdom,Desktop,65,65.98334162202724
Stranger Things,Documentary,Canada,Mobile,49,81.73356366269707
The Witcher,Action,India,Desktop,78,58.111670289123964
Wednesday,Documentary,United States,Desktop,116,51.46820795511962
The Witcher,Thriller,India,TV,24,98.67286949880867
The Witcher,Documentary,United States,Tablet,69,55.5374222659479
The Witcher,Action,United States,Desktop,85,91.08184488552358
